album,track_no,track_title,audio_url,lyrics_url,lyrics_offset,lyric_preview
339 EP,1,"What U Want (feat. Masiwei, Bohan Phoenix, J.Mag)","https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/05-339-ep/01-What%20U%20Want%20(feat.%20Masiwei,%20Bohan%20Phoenix,%20J.Mag).flac",./lyrics/339-ep/what-u-want-feat-masiwei-bohan-phoenix-jmag.lrc,0.0,Masiwei：
339 EP,2,"Think Too Much (feat. Masiwei, Bohan Phoenix, J.Mag)","https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/05-339-ep/02-Think%20Too%20Much%20(feat.%20Masiwei,%20Bohan%20Phoenix,%20J.Mag).flac",./lyrics/339-ep/think-too-much-feat-masiwei-bohan-phoenix-jmag.lrc,0.0,Masiwei：
339 EP,3,"Talk a Lot (feat. Masiwei, J.Mag, Bohan Phoenix)","https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/05-339-ep/03-Talk%20a%20Lot%20(feat.%20Masiwei,%20J.Mag,%20Bohan%20Phoenix).flac",./lyrics/339-ep/talk-a-lot-feat-masiwei-jmag-bohan-phoenix.lrc,0.0,what they talking ‘bout? (他们在说些什么?)
339 EP,4,"Blame (feat. Masiwei, Bohan Phoenix, J.Mag)","https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/05-339-ep/04-Blame%20(feat.%20Masiwei,%20Bohan%20Phoenix,%20J.Mag).flac",./lyrics/339-ep/blame-feat-masiwei-bohan-phoenix-jmag.lrc,0.0,Can't be sleeping (彻夜不眠)
339 EP,5,What U Want (Instrumental),https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/05-339-ep/05-What%20U%20Want%20(Instrumental).flac,./lyrics/339-ep/what-u-want-instrumental.lrc,0.0,纯音乐，请欣赏
339 EP,6,Think Too Much (Instrumental),https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/05-339-ep/06-Think%20Too%20Much%20(Instrumental).flac,./lyrics/339-ep/think-too-much-instrumental.lrc,0.0,纯音乐，请欣赏
339 EP,7,Talk a Lot (Instrumental),https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/05-339-ep/07-Talk%20a%20Lot%20(Instrumental).flac,./lyrics/339-ep/talk-a-lot-instrumental.lrc,0.0,纯音乐，请欣赏
339 EP,8,Blame (Instrumental),https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/05-339-ep/08-Blame%20(Instrumental).flac,./lyrics/339-ep/blame-instrumental.lrc,0.0,纯音乐，请欣赏
Humble Swag GT Mixtape,1,Flow Guilty,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/06-humble-swag-gt-mixtape/01-Flow%20Guilty.flac,./lyrics/humble-swag-gt-mixtape/flow-guilty.lrc,0.0,笑容6位数 I don’t do no grill thing
Humble Swag GT Mixtape,2,年年有余,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/06-humble-swag-gt-mixtape/02-%E5%B9%B4%E5%B9%B4%E6%9C%89%E4%BD%99.flac,./lyrics/humble-swag-gt-mixtape/年年有余.lrc,0.0,把他们全赶走 再把钱卷走
Humble Swag GT Mixtape,3,单机游戏,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/06-humble-swag-gt-mixtape/03-%E5%8D%95%E6%9C%BA%E6%B8%B8%E6%88%8F.flac,./lyrics/humble-swag-gt-mixtape/单机游戏.lrc,0.0,我在玩单机游戏 左手玩马里奥右手玩路易吉
Humble Swag GT Mixtape,4,Hometown,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/06-humble-swag-gt-mixtape/04-Hometown.flac,./lyrics/humble-swag-gt-mixtape/hometown.lrc,0.0,吉他 : 张晨
Humble Swag GT Mixtape,5,Coco Elva Tia,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/06-humble-swag-gt-mixtape/05-Coco%20Elva%20Tia.flac,./lyrics/humble-swag-gt-mixtape/coco-elva-tia.lrc,0.0,我是个说唱歌手但具备R&B vibe
Humble Swag GT Mixtape,6,22' Freestyle,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/06-humble-swag-gt-mixtape/06-22'%20Freestyle.flac,./lyrics/humble-swag-gt-mixtape/22-freestyle.lrc,0.0,他们都太热衷于 follow我的踪迹
